,level1,level2,level3, M ,I,X,V,W
,Tag매출,Tag매출,Tag매출,"747,249,995",41860895.75,19894410.02,15444215.71,6370310
,실판(V+),실판(V+),실판(V+),"380,526,236",22825312.73,11251937,4065639.72,1224717.135
,실판(V-),실판(V-),실판(V-),"336,748,881",20199391.79,9957466.372,3595244.01,1082679.933
,매출원가,매출원가,매출원가,"233,807,361",13034954.73,7222150.023,5369524.962,2080834.432
,평가감,평가감,평가감(설정),"-7,002,316",-1244169.982,0,-8067529.083,-2438693.322
,평가감,평가감,평가감(환입),"9,963,693",1527087.395,2896401.4,10551.68,3346.57
Store Payroll,직접비,급여,급여,"3,136,397",787224.4793,186498.8952,90265.21,51012.32
Store Staff Benefits,직접비,복리후생비,복리후생비,"1,750,858",472519.2245,74953.31453,48584.70133,12554.83617
Platform Commission,직접비,플랫폼수수료,플랫폼수수료,"5,814,225",608176.8314,194574.8433,226768.9684,21507.64133
T P commission,직접비,TP수수료,TP수수료,"5,052,984",494949.06,495584.9067,581658.0726,232252.81
Advertisement-Direct,직접비,직접광고비,직접광고비,"8,741,707",997094.9424,886109.434,291428.0525,17353.63053
Franchiser Rebate,직접비,대리상지원금,대리상지원금,"7,396,611",3190140.327,1712386.99,0,0
Logistic Expense,직접비,물류비,물류비,"7,575,494",689980.738,468197.0176,242730.1314,278703.6416
Store Rental,직접비,매장임차료,매장임차료,"12,346,472",2080723.92,642506.7224,1387852.275,50442.46
Store D&A,직접비,감가상각비,감가상각비,"1,183,879",219592.3936,82367.43,100382,7937.68
VMD,직접비,기타,진열소모품,"3,965",30780.22986,281415.9292,20000,20000
Package,직접비,기타,포장비,"498,953",38754.08923,25117.45543,12625.73228,4287.595
Service Fee,직접비,기타,지급수수료,"602,770",271870.4969,66667.27273,45324.65,12800.17
Others,직접비,기타,기타지급수수료,"84,861",27222.5,4800,7239.89,0
Salary,영업비,급여,급여,"7,268,097",738834.6467,1167419.478,,
Staff Benefits,영업비,복리후생비,복리후생비,"3,124,959",210579.8787,364787.4025,,
Advertisement-Shared,영업비,광고비,광고비,"11,040,434",1898990.123,6033622.39,,
Tradeshow,영업비,수주회,수주회, - ,0,0,,
Service fee,영업비,지급수수료,지급수수료,"1,576,371",103100,0,,
Office Rental,영업비,임차료,임차료,"1,915,990",0,0,,
D&A,영업비,감가상각비,감가상각비,"333,351",0,1083.333333,,
TAX,영업비,세금과공과,세금과공과,"4,127,435",0,0,,
Others,영업비,기타,기타지급수수료,"438,127",39042.83333,84566.5,,
